"Filename";"Keywords";"Length";"Description";"SourceString";"CategoryString"
"SY_plnm_n_0.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_0_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_1_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_n_2_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
